Date,Total
2020-09-04,8840422849.50
2020-09-05,8774470755.54
2020-09-06,7518840956.80
2020-09-07,7779351047.53
2020-09-08,7063081390.15
2020-09-09,6951787813.20
2020-09-10,7113460738.94
2020-09-11,7766962036.87
2020-09-12,7720733069.32
2020-09-13,7919135795.77
2020-09-14,7715402934.23
2020-09-15,7847949240.88
2020-09-16,7725124236.70
2020-09-17,7520517011.02
2020-09-18,8052909726.90
2020-09-19,8519970394.04
2020-09-20,9196593218.58
2020-09-21,9376085400.01
2020-09-22,8714828779.97
2020-09-23,8750457061.12
2020-09-24,8789848088.68
2020-09-25,9109544717.33
2020-09-26,9354616216.98
2020-09-27,10293948114.69
2020-09-28,10204476658.96
2020-09-29,10321353182.19
2020-09-30,10315099847.97
2020-10-01,10134392687.09
2020-10-02,10189295238.47
2020-10-03,9737575006.76
2020-10-04,9903179945.55
2020-10-05,9881721137.41
2020-10-06,9736036047.48
2020-10-07,9307169211.71
2020-10-08,9050140204.50
2020-10-09,9294430969.19
2020-10-10,9710313455.86
2020-10-11,9859522062.84
2020-10-12,9958279304.64
2020-10-13,9978001973.79
2020-10-14,10038921099.11
2020-10-15,10038190284.76
2020-10-16,9917922064.87
2020-10-17,9732067915.94
2020-10-18,9692987238.67
2020-10-19,9803589310.92
2020-10-20,9831418136.31
2020-10-21,9581943440.38
2020-10-22,9715727249.96
2020-10-23,9911450126.15
2020-10-24,9998327466.63
2020-10-25,10115370615.04
2020-10-26,10117805274.75
2020-10-27,9835670127.13
2020-10-28,9983556724.12
2020-10-29,9898984471.29
2020-10-30,9851385711.42
2020-10-31,9689932667.44
2020-11-01,9854321847.39
2020-11-02,9864556194.53
2020-11-03,9621004842.05
2020-11-04,9566387724.30
2020-11-05,9656163251.76
2020-11-06,9865067926.28
2020-11-07,10514636975.26
2020-11-08,10500108155.78
2020-11-09,10717236165.59
2020-11-10,11194808412.68
2020-11-11,11374092016.51
2020-11-12,11815709397.04
2020-11-13,11647603707.51
2020-11-14,11977313256.78
2020-11-15,11792683867.00
2020-11-16,11836851395.63
2020-11-17,11913540023.50
2020-11-18,11679325492.27
2020-11-19,11611650929.57
2020-11-20,11591261252.16
2020-11-21,12318327969.34
2020-11-22,12414922560.97
2020-11-23,12398620476.47
2020-11-24,12565973177.47
2020-11-25,12599940583.27
2020-11-26,12388831137.15
2020-11-27,11274836889.17
2020-11-28,11181634874.12
2020-11-29,11513580370.35
2020-11-30,12111861298.92
2020-12-01,12795987608.48
2020-12-02,12724500680.52
2020-12-03,12901111767.98
2020-12-04,13194063626.13
2020-12-05,12568319798.06
2020-12-06,12933283345.35
2020-12-07,13002297919.86
2020-12-08,13078000666.16
2020-12-09,12685104431.70
2020-12-10,12664941727.59
2020-12-11,12450643860.81
2020-12-12,12164634989.94
2020-12-13,12635041119.60
2020-12-14,12981556275.51
2020-12-15,12974986126.65
2020-12-16,13265940662.18
2020-12-17,13511920582.29
2020-12-18,13963977279.46
2020-12-19,13946979344.88
2020-12-20,14370699944.39
2020-12-21,14128754596.00
2020-12-22,13659057159.39
2020-12-23,13963658644.80
2020-12-24,13857620782.78
2020-12-25,13773685170.53
2020-12-26,14387709887.72
2020-12-27,14593625595.29
2020-12-28,14618961853.01
2020-12-29,15358429580.77
2020-12-30,15480683661.06
2020-12-31,15061320815.99
2021-01-01,15308278945.12
2021-01-02,15393496906.69
2021-01-03,15839000462.97
2021-01-04,17424681837.16
2021-01-05,18249927805.58
2021-01-06,20031885327.80
2021-01-07,21417547204.72
2021-01-08,21876955410.67
2021-01-09,22324303920.01
2021-01-10,22281448747.08
2021-01-11,22440777560.76
2021-01-12,20008836475.07
2021-01-13,20262397173.06
2021-01-14,21232414345.66
2021-01-15,22232372294.00
2021-01-16,21672978256.00
2021-01-17,22473723731.70
2021-01-18,22590296463.14
2021-01-19,23071677387.59
2021-01-20,24533456293.10
2021-01-21,23617909833.87
2021-01-22,21534663575.82
2021-01-23,22788053604.29
2021-01-24,23519491793.32
2021-01-25,25461077837.32
2021-01-26,25803195860.04
2021-01-27,25484026352.90
2021-01-28,24515384943.17
2021-01-29,26017313466.61
2021-01-30,27064199206.77
2021-01-31,26998337524.49
2021-02-01,26942114733.21
2021-02-02,27512515278.08
2021-02-03,28996953170.78
2021-02-04,32564605169.96
2021-02-05,33492188282.92
2021-02-06,35789623075.11
2021-02-07,35556321875.14
2021-02-08,34828908937.81
2021-02-09,37486773679.88
2021-02-10,38994395470.88
2021-02-11,40241977089.87
2021-02-12,41491064832.33
2021-02-13,42299258089.97
2021-02-14,41593316435.20
2021-02-15,42001997138.71
2021-02-16,41590602189.55
2021-02-17,42141014383.68
2021-02-18,43064977476.37
2021-02-19,44795111400.81
2021-02-20,46348600072.49
2021-02-21,48014135082.57
2021-02-22,48447474621.83
2021-02-23,45698307191.85
2021-02-24,39714355142.23
2021-02-25,43315810918.87
2021-02-26,42498311962.39
2021-02-27,37536737023.64
2021-02-28,37985056069.96
2021-03-01,39761766432.67
2021-03-02,43143946924.59
2021-03-03,43639970449.66
2021-03-04,45760510261.07
2021-03-05,45134410974.77
2021-03-06,44293838069.61
2021-03-07,45592218766.10
2021-03-08,44447012916.36
2021-03-09,45609398587.63
2021-03-10,47894938293.87
2021-03-11,48251354659.35
2021-03-12,48900022167.74
2021-03-13,50181234643.55
2021-03-14,53344877188.45
2021-03-15,52790014528.86
2021-03-16,50744740810.94
2021-03-17,51288673493.69
2021-03-18,52182688941.46
2021-03-19,52743686785.58
2021-03-20,53978433993.96
2021-03-21,55653700743.74
2021-03-22,53757129634.60
