Protocol,Category,Change 1d,Change 7d,Change 1m,Total 1d,Total 7d,Total 1m,Revenue 24h,Revenue 7d,Revenue 30d
PulseX,Dexes,-46.83837716453621,,,10249958,111870262,451000838,,,
KTX.Finance,Dexes,-30.22531848535086,,,13835466,149623300,362281951,,,
FXDX,Derivatives,,,,0,0,1,,,
Fathom,Dexes,,,,,,,,,
Heraswap,Dexes,,,,0,,,,,
MiaSwap,Dexes,,,,0,,,,,
Ambient,Dexes,-36.51,19.03,-28.34,4132429,53273617,241245219,,,
Astroport,Dexes,75.41,58.25,150.13,1540556,7302221,40624577,,,
PearlFi,Dexes,-66.8838981351514,,,3303,108359,583087,,,
Litx,Dexes,,,,0,0,0,,,
Phoenix,Dexes,-25.72,56.96,-0.44,94541110,798722262,3272678613,,,
Concordex,Dexes,-90,,-75,1,16,29,,,
Mango Markets,Dexes,11.6273202378807,,,30971,349918,2622522,,,
zkSwap Finance,Dexes,-83.23,-45.24,-90.29,503288,12475906,57416587,,,
FlowX Finance,Dexes,-3.530398980325927,,,910510,8274617,30830992,,,
Pinnako,Derivatives,,,,0,,,,,
DerpDEX,Dexes,-76.39,-52.78,-91.19,34,1383,9818,,,
FusionX Finance,Dexes,-16.707720659805588,,,962688,8704975,25209754,,,
Sobal,Dexes,21.07,9.35,868.57,339,1608,10010,,,
HorizonDEX,Dexes,,,,0,,,,,
EchoDEX,Dexes,-12.917157440125637,,,11090,118188,635414,,,
ICPSwap,Dexes,0,9.62,-29.92,831166,5344259,23688007,,,
Reax Finance,Dexes,,,,,,23,,,
Agni Finance,Dexes,-60.29,1.99,188.73,4054362,65742023,150635259,,,
DeepBook,Dexes,-11.14,161.12,43.07,10065921,76500915,340349528,,,
DexFinance,Dexes,-54.46394138064019,,,9446,122794,585346,,,
ZKBase,Dexes,,,,0,,,,,
FCON DEX,Dexes,,,,0,,,,,
Grizzlyfi,Dexes,,,,,,,,,
Retro,Dexes,-46.26,-11.24,-47.1,102118,1498402,13681682,,,
CrescentSwap,Dexes,,,-100,0,1,12,,,
TanX.fi,Dexes,-25.08,-34.26,0.85,3956517,37940548,142159310,,,
SwapBased,Dexes,,,,,,,,,
Velocore,Dexes,,,,,,19,,,
BaseSwap,Dexes,-25.671535079331488,,,8740997,78817729,308566438,,,
DackieSwap,Dexes,2.9406467559728977,,,165754,1334687,7607967,,,
Alien Base,Dexes,-36.70833147721429,,,1250294,10172173,42326886,,,
Throne,Dexes,,,,,6,47,,,
Sanctum,Yield,782.3341192320646,,,471537,1231185,5445855,,,
Lynex,Dexes,-51.46250353843374,,,3461885,58413468,272231987,,,
LuigiSwap,Dexes,,,,0,,,,,
YFX,Derivatives,,,,0,0,0,,,
Hydration,Dexes,-20.56,-14.03,-27.05,739596,6907798,34659152,,,
Aerodrome,Dexes,-35.07636892515132,,,270942359,2938702905,11311443621,,,
Danogo,RWA,-100,-100,,0,348405,565789,,,
Kinetix,Dexes,-68.98054301422034,,,161594,1603564,9847459,,,
Ekubo,Dexes,2.99,21.07,-11.13,6996031,64842528,292742193,,,
Nether.Fi,Derivatives,,,,0,0,0,,,
BMX,Dexes,-50.46324287410668,,,683313,6486849,23530060,,,
Tegro,Dexes,,,,0,0,0,,,
MagicSea,Dexes,,,,,363310,4047624,,,
TangleSwap,Dexes,,,,0,,,,,
BLEX,Derivatives,,,,0,0,0,,,
